current_path,current_filename,suggested_clean_filename,project_group,confidence,category,safety_status,unsafe_elements,recommended_fix,suggested_usage,source_public_status,alt_en
"custom-architectural-components.webp","custom-architectural-components.webp","custom-architectural-components.webp","repo-root-stray","Low","Unknown / Needs Review","Needs Manual Review","duplicate/near duplicate; unclear ownership/source","manual review required; keep private","do not publish","",""
"grand-entrance-gate.webp","grand-entrance-gate.webp","grand-entrance-gate.webp","repo-root-stray","Low","Unknown / Needs Review","Needs Manual Review","duplicate/near duplicate; unclear ownership/source","manual review required; keep private","do not publish","",""
"heritage-regional.webp","heritage-regional.webp","heritage-regional.webp","repo-root-stray","Low","Unknown / Needs Review","Needs Manual Review","duplicate/near duplicate; unclear ownership/source","manual review required; keep private","do not publish","",""
"hospitality-commercial.webp","hospitality-commercial.webp","hospitality-commercial.webp","repo-root-stray","Low","Unknown / Needs Review","Needs Manual Review","duplicate/near duplicate; unclear ownership/source","manual review required; keep private","do not publish","",""
"landmark-government-facade.webp","landmark-government-facade.webp","landmark-government-facade.webp","repo-root-stray","Low","Unknown / Needs Review","Needs Manual Review","duplicate/near duplicate; unclear ownership/source","manual review required; keep private","do not publish","",""
"private/held-gallery-review/facade-package/civic-identity-calligraphy-column-001.jpg","civic-identity-calligraphy-column-001.jpg","civic-identity-calligraphy-column-001.jpg","HELD-facade","High","Internal Only","HELD_FOR_REVIEW","visible client logo; project name/signage","manual review required","do not publish","",""
"private/held-gallery-review/facade-package/civic-identity-logo-panel-001.jpg","civic-identity-logo-panel-001.jpg","civic-identity-logo-panel-001.jpg","HELD-facade","High","Internal Only","HELD_FOR_REVIEW","visible client logo; project name/signage","manual review required","do not publish","",""
"private/held-gallery-review/facade-package/civic-identity-logo-panel-002.jpg","civic-identity-logo-panel-002.jpg","civic-identity-logo-panel-002.jpg","HELD-facade","High","Internal Only","HELD_FOR_REVIEW","visible client logo; project name/signage","manual review required","do not publish","",""
"private/held-gallery-review/resort-hospitality-package/kaec-2025-hospitality-aerial-masterplan-001.jpg","kaec-2025-hospitality-aerial-masterplan-001.jpg","kaec-2025-hospitality-aerial-masterplan-001.jpg","HELD-resort-hospitality","High","Internal Only","HELD_FOR_REVIEW","site/location identity","manual review required","do not publish","",""
"private/held-gallery-review/resort-hospitality-package/kaec-2025-hospitality-aerial-waterfront-001.jpg","kaec-2025-hospitality-aerial-waterfront-001.jpg","kaec-2025-hospitality-aerial-waterfront-001.jpg","HELD-resort-hospitality","High","Internal Only","HELD_FOR_REVIEW","site/location identity","manual review required","do not publish","",""
"private/held-gallery-review/resort-hospitality-package/kaec-2025-hospitality-beachfront-overview-001.jpg","kaec-2025-hospitality-beachfront-overview-001.jpg","kaec-2025-hospitality-beachfront-overview-001.jpg","HELD-resort-hospitality","High","Internal Only","HELD_FOR_REVIEW","site/location identity","manual review required","do not publish","",""
"private/held-gallery-review/resort-hospitality-package/kaec-2025-hospitality-landscape-courtyard-001.jpg","kaec-2025-hospitality-landscape-courtyard-001.jpg","kaec-2025-hospitality-landscape-courtyard-001.jpg","HELD-resort-hospitality","High","Internal Only","HELD_FOR_REVIEW","site/location identity","manual review required","do not publish","",""
"public/images/infographics/column-capital-component-overview.svg","column-capital-component-overview.svg","column-capital-component-overview.svg","design-infographics","High","Product/System Page","Public Safe","","approve as-is","system/product page","",""
"public/images/infographics/cornice-component-overview.svg","cornice-component-overview.svg","cornice-component-overview.svg","design-infographics","High","Product/System Page","Public Safe","","approve as-is","system/product page","",""
"public/images/infographics/custom-decorative-component-overview.svg","custom-decorative-component-overview.svg","custom-decorative-component-overview.svg","design-infographics","High","Product/System Page","Public Safe","","approve as-is","system/product page","",""
"public/images/infographics/dome-component-overview.svg","dome-component-overview.svg","dome-component-overview.svg","design-infographics","High","Product/System Page","Public Safe","","approve as-is","system/product page","",""
"public/images/infographics/gfrc-classical-columns-hero.png","gfrc-classical-columns-hero.png","gfrc-classical-columns-hero.png","design-infographics","High","Product/System Page","Public Safe","","approve as-is","system/product page","",""
"public/images/infographics/mashrabiya-component-overview.svg","mashrabiya-component-overview.svg","mashrabiya-component-overview.svg","design-infographics","High","Product/System Page","Public Safe","","approve as-is","system/product page","",""
"public/images/logos/durraka-logo-header-white-red.svg","durraka-logo-header-white-red.svg","durraka-logo-header-white-red.svg","design-logos","High","Website Hero","Public Safe","","approve as-is","website","",""
"public/images/logos/durraka-logo-original-red-blue.svg","durraka-logo-original-red-blue.svg","durraka-logo-original-red-blue.svg","design-logos","High","Website Hero","Public Safe","","approve as-is","website","",""
"public/images/packages/custom-architectural-components.webp","custom-architectural-components.webp","custom-architectural-components.webp","design-package-webp","High","Product/System Page","Public Safe","","approve as-is","system/product page; catalog","",""
"public/images/packages/grand-entrance-gate.webp","grand-entrance-gate.webp","grand-entrance-gate.webp","design-package-webp","High","Product/System Page","Public Safe","","approve as-is","system/product page; catalog","",""
"public/images/packages/heritage-regional.webp","heritage-regional.webp","heritage-regional.webp","design-package-webp","High","Product/System Page","Public Safe","","approve as-is","system/product page; catalog","",""
"public/images/packages/hospitality-commercial.webp","hospitality-commercial.webp","hospitality-commercial.webp","design-package-webp","High","Product/System Page","Public Safe","","approve as-is","system/product page; catalog","",""
