project_group,image_count,type
"grand-arcade-facade-complex",27,"MIXED - needs project identification"
"sheikh-hamad-al-thani-mosque-makkah-gfrc-package",26,"project package"
"mosque-domes-minaret-gfrc-package",16,"project package"
"commercial-hospitality-tower-gfrc-facade-package",10,"project package"
"heritage-gfrc-facade-package",9,"project package"
"classic-villa-boundary-wall-gfrc-package",8,"project package"
"infrastructure-underpass-patterned-gfrc-wall-cladding-package",8,"project package"
"private-villa-classic-gfrc-package",8,"project package"
"kaec-2025-hospitality",7,"project package"
"repo-root-stray",6,"stray/duplicate"
"design-infographics",6,"design asset"
"design-package-webp",6,"design asset"
"design-generic-gfrc-render",6,"design asset"
"commercial-gfrc-facade-cladding-package",6,"project package"
"infrastructure-bridge-gfrc-cladding-package",6,"project package"
"makkah-2023-mosque",6,"project package"
"classic-red-stone-villa-gfrc-facade-package",5,"project package"
"HELD-resort-hospitality",4,"held (excluded)"
"geometric-mashrabiya-screen-package",4,"project package"
"large-development-entrance-gateway-gfrc-package",4,"project package"
"HELD-facade",3,"held (excluded)"
"design-logos",2,"design asset"
